150.585373:0.443129 365.707306:0.415666 107.560974:0.186589 1097.121948:0.171008 731.414612:0.149293 925.024414:0.104680 236.634140:0.067003 473.268280:0.063844 21.512196:0.058194 1850.048828:0.048086 5248.975586:0.041194 6410.634277:0.033811 4087.317139:0.027346 3334.390137:0.023975 7206.585449:0.022012 2215.756104:0.021376 
150.585373:0.459115 365.707306:0.399512 1097.121948:0.172295 731.414612:0.147014 925.024414:0.100768 451.756104:0.065747 236.634140:0.062231 1850.048828:0.043394 5248.975586:0.039860 6410.634277:0.032921 4087.317139:0.026705 3334.390137:0.023429 7206.585449:0.021440 2215.756104:0.020892 2775.073242:0.019125 10540.975586:0.019117 
150.585373:0.469940 365.707306:0.384867 1097.121948:0.169936 731.414612:0.146122 925.024414:0.096389 451.756104:0.061861 236.634140:0.054895 1850.048828:0.038185 5248.975586:0.037904 301.170746:0.033195 6410.634277:0.031581 4087.317139:0.026654 8411.268555:0.025901 3334.390137:0.022438 2215.756104:0.020786 7206.585449:0.020361 
150.585373:0.462067 365.707306:0.372610 1097.121948:0.162102 731.414612:0.149464 925.024414:0.091981 451.756104:0.058566 236.634140:0.050188 5248.975586:0.036023 1850.048828:0.033250 6410.634277:0.030064 8411.268555:0.029395 4087.317139:0.027142 3334.390137:0.021346 2215.756104:0.020892 7206.585449:0.018792 2775.073242:0.016562 
150.585373:0.451658 365.707306:0.363983 731.414612:0.157717 1097.121948:0.151932 925.024414:0.088000 473.268280:0.059875 236.634140:0.048667 5248.975586:0.034392 1850.048828:0.029174 6410.634277:0.028677 4087.317139:0.027719 8411.268555:0.026520 2215.756104:0.020922 3334.390137:0.020437 7206.585449:0.017090 2775.073242:0.015967 
150.585373:0.447498 365.707306:0.358824 731.414612:0.166624 1097.121948:0.144042 925.024414:0.083450 473.268280:0.055757 236.634140:0.053985 5248.975586:0.032690 64.536583:0.030261 4087.317139:0.027851 6410.634277:0.027679 1850.048828:0.026152 301.170746:0.022039 2215.756104:0.020525 3334.390137:0.020073 8411.268555:0.018945 
150.585373:0.441974 365.707306:0.361291 731.414612:0.171709 1097.121948:0.139539 925.024414:0.079036 236.634140:0.054907 473.268280:0.054895 5248.975586:0.030805 4087.317139:0.027226 6410.634277:0.026935 1850.048828:0.024443 301.170746:0.020113 3334.390137:0.019981 2215.756104:0.019731 3721.609863:0.017503 6044.926758:0.017245 
150.585373:0.433609 365.707306:0.361645 731.414612:0.172274 1097.121948:0.137565 925.024414:0.075776 236.634140:0.058035 473.268280:0.054400 5248.975586:0.029327 4087.317139:0.026328 6410.634277:0.026311 1850.048828:0.024971 301.170746:0.020185 3334.390137:0.020051 2215.756104:0.018739 3721.609863:0.018622 6044.926758:0.016429 
150.585373:0.432158 365.707306:0.358556 731.414612:0.170969 1097.121948:0.138276 925.024414:0.074202 473.268280:0.054882 236.634140:0.054639 5248.975586:0.028654 1850.048828:0.027664 4087.317139:0.025798 6410.634277:0.025563 301.170746:0.025473 3334.390137:0.019874 3721.609863:0.019494 2215.756104:0.017685 6044.926758:0.014382 
150.585373:0.436675 365.707306:0.356184 731.414612:0.169067 1097.121948:0.141102 925.024414:0.073802 236.634140:0.056883 451.756104:0.055207 1850.048828:0.031074 5248.975586:0.028104 301.170746:0.026437 4087.317139:0.025483 6410.634277:0.024526 3721.609863:0.019766 3334.390137:0.019499 2215.756104:0.016744 7938.000000:0.013913 
150.585373:0.435915 365.707306:0.355096 731.414612:0.165318 1097.121948:0.144836 925.024414:0.074047 473.268280:0.055226 236.634140:0.055195 1850.048828:0.033188 5248.975586:0.027036 4087.317139:0.024592 64.536583:0.024406 6410.634277:0.023288 3721.609863:0.019717 3334.390137:0.018988 2215.756104:0.015951 8411.268555:0.014466 
150.585373:0.428094 365.707306:0.354136 731.414612:0.158450 1097.121948:0.146908 925.024414:0.074167 236.634140:0.057145 473.268280:0.054850 1850.048828:0.033055 301.170746:0.030063 5248.975586:0.025384 64.536583:0.025009 4087.317139:0.023058 6410.634277:0.021855 3721.609863:0.019584 3334.390137:0.018927 8411.268555:0.016018 
150.585373:0.421821 365.707306:0.354006 731.414612:0.150790 1097.121948:0.145399 925.024414:0.074105 236.634140:0.055190 451.756104:0.052355 1850.048828:0.030957 5248.975586:0.023197 4087.317139:0.021463 6410.634277:0.020323 3721.609863:0.019258 3334.390137:0.018607 8411.268555:0.016704 2215.756104:0.014602 3248.341553:0.013856 
150.585373:0.422212 365.707306:0.354936 731.414612:0.146366 1097.121948:0.140770 925.024414:0.074159 236.634140:0.054423 451.756104:0.048127 86.048782:0.042610 1850.048828:0.027878 4087.317139:0.020598 5248.975586:0.020446 3721.609863:0.018761 6410.634277:0.018683 3334.390137:0.017897 8411.268555:0.016416 3248.341553:0.015430 
150.585373:0.426467 365.707306:0.356480 731.414612:0.146323 1097.121948:0.135458 925.024414:0.074612 236.634140:0.053057 451.756104:0.046585 1850.048828:0.024862 301.170746:0.024438 4087.317139:0.020406 5227.463379:0.019717 3721.609863:0.018139 6410.634277:0.017095 3248.341553:0.016613 3334.390137:0.016613 8411.268555:0.014948 
150.585373:0.432753 365.707306:0.360959 731.414612:0.148894 1097.121948:0.131077 925.024414:0.075974 236.634140:0.048814 473.268280:0.043343 21.512196:0.035680 64.536583:0.023209 1850.048828:0.022440 4087.317139:0.020675 5227.463379:0.018782 301.170746:0.017536 3721.609863:0.017407 3248.341553:0.016895 6410.634277:0.015849 
150.585373:0.436170 365.707306:0.363219 731.414612:0.151253 1097.121948:0.127790 925.024414:0.077917 236.634140:0.046895 473.268280:0.043647 21.512196:0.033823 64.536583:0.027174 4087.317139:0.020862 1850.048828:0.020758 5227.463379:0.017239 3721.609863:0.016616 3248.341553:0.016593 6410.634277:0.015128 1462.829224:0.014579 
150.585373:0.435198 365.707306:0.363556 731.414612:0.153339 1097.121948:0.124890 925.024414:0.078961 473.268280:0.046787 236.634140:0.043281 4087.317139:0.020997 1850.048828:0.019632 3721.609863:0.016018 1462.829224:0.015764 3248.341553:0.015658 5227.463379:0.015514 6410.634277:0.014667 5119.902344:0.013314 2215.756104:0.012603 
150.585373:0.429396 365.707306:0.361167 731.414612:0.155615 1097.121948:0.121703 925.024414:0.075175 473.268280:0.049155 236.634140:0.046397 4087.317139:0.020946 1850.048828:0.019116 1462.829224:0.017584 3721.609863:0.015703 5227.463379:0.014068 6410.634277:0.014009 3248.341553:0.013806 5119.902344:0.012676 2215.756104:0.012436 
150.585373:0.419943 365.707306:0.354101 731.414612:0.158596 1097.121948:0.118026 925.024414:0.064472 86.048782:0.055250 473.268280:0.051089 236.634140:0.045287 4087.317139:0.020721 1462.829224:0.019259 1850.048828:0.019214 3721.609863:0.014982 301.170746:0.014344 6410.634277:0.013079 5227.463379:0.013040 5119.902344:0.012026 
150.585373:0.412454 365.707306:0.345731 731.414612:0.161515 1097.121948:0.113487 473.268280:0.050155 236.634140:0.049931 925.024414:0.049350 86.048782:0.045636 301.170746:0.023507 1484.341431:0.021016 4087.317139:0.020004 1850.048828:0.019487 3721.609863:0.012692 6410.634277:0.012058 5227.463379:0.012056 2215.756104:0.011228 
150.585373:0.411863 365.707306:0.337897 731.414612:0.164304 1097.121948:0.109763 236.634140:0.048367 473.268280:0.043882 925.024414:0.034959 64.536583:0.034604 968.048767:0.025796 1484.341431:0.022733 1828.536621:0.018883 4087.317139:0.018656 580.829285:0.011016 6410.634277:0.010942 5227.463379:0.010746 5098.390137:0.010208 
150.585373:0.420567 365.707306:0.320931 731.414612:0.160835 1097.121948:0.108017 236.634140:0.048963 64.536583:0.037943 473.268280:0.034992 1269.219482:0.027096 1226.195068:0.025885 1484.341431:0.024596 925.024414:0.024103 1011.073181:0.020237 1333.756104:0.018070 968.048767:0.017859 1828.536621:0.017200 4087.317139:0.016828 
150.585373:0.435875 365.707306:0.285452 752.926819:0.142054 1097.121948:0.102431 1226.195068:0.050727 236.634140:0.046421 473.268280:0.026509 1699.463379:0.026326 1484.341431:0.025277 21.512196:0.024834 1032.585327:0.021286 925.024414:0.017756 580.829285:0.015518 1828.536621:0.015489 4087.317139:0.014742 666.878052:0.013593 
